ID,Nama Bahan,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
81,"Susu, susu, cairan, dikultur, rendah lemak","90,13",40,"3,31","0,88","0,89","4,79",-,"4,79",116,"0,05",11,89,151,190,"0,42","0,011","0,002","2,0","1,0","0,034","0,154","0,058","0,275","0,034",5,18,"0,22",47,14,13,-,1,-,-,-,"0,05",-,1,"0,1","0,548","0,254","0,033","4,00"
82,"Susu, natrium rendah, cairan","88,20",61,"3,10","3,46","0,78","4,46",-,"4,46",101,"0,05",5,86,253,3,"0,38","0,010","0,004","2,0","0,9","0,020","0,105","0,043","0,304","0,034",5,16,"0,36",105,29,28,-,7,-,-,-,"0,08","1,3",51,"0,3","2,154","0,999","0,128","14,00"
83,"Susu, dikeringkan, utuh, dengan tambahan vitamin D","2,47",496,"26,32","26,71","6,08","38,42",-,"38,42",912,"0,47",85,776,1.33,371,"3,34","0,080","0,040","16,3","8,6","0,283","1,205","0,646","2,271","0,302",37,119,"3,25",934,258,253,-,55,-,-,-,"0,58","10,5",420,"2,2","16,742","7,924","0,665","97,00"
84,"Susu, dikeringkan, tanpa lemak, teratur, tanpa tambahan vitamin A dan vitamin D","3,16",362,"36,16","0,77","7,93","51,98",-,"51,98",1.257,"0,32",110,968,1.794,535,"4,08","0,041","0,020","27,3","6,8","0,415","1,550","0,951","3,568","0,361",50,169,"4,03",22,6,6,-,1,-,-,-,-,-,-,"0,1","0,499","0,201","0,030","20,00"
85,"Susu, dikeringkan, tanpa lemak, instan, dengan tambahan vitamin A dan vitamin D","3,96",358,"35,10","0,72","8,03","52,19",-,"52,19",1.231,"0,31",117,985,1.705,549,"4,41","0,041","0,020","27,3","5,6","0,413","1,744","0,891","3,235","0,345",50,168,"3,99",2.365,709,709,-,1,-,-,-,"0,01","11,0",440,-,"0,467","0,187","0,028","18,00"
86,"Susu, dikeringkan, tanpa lemak, kalsium berkurang","4,90",354,"35,50","0,20","7,60","51,80",-,-,280,"0,32",60,1.011,680,2.28,"4,03","0,016","0,008","27,3","6,7","0,163","1,642","0,665","3,312","0,298",50,-,"3,98",8,2,1,-,-,-,-,-,-,-,-,-,"0,124","0,058","0,007","2,00"
87,"Susu, susu, kering","2,97",387,"34,30","5,78","7,95","49,00",-,"49,00",1.184,"0,30",110,933,1.592,517,"4,02","0,111","0,023","20,3","5,7","0,392","1,579","0,876","3,170","0,338",47,119,"3,82",175,49,48,-,9,-,-,-,"0,10","0,5",20,"0,4","3,598","1,669","0,215","69,00"
88,"Susu, kaleng, kental, manis","27,16",321,"7,91","8,70","1,83","54,40",-,"54,40",284,"0,19",26,253,371,127,"0,94","0,015","0,006","14,8","2,6","0,090","0,416","0,210","0,750","0,051",11,89,"0,44",267,74,73,-,14,-,-,-,"0,16","0,2",6,"0,6","5,486","2,427","0,337","34,00"
89,"Susu, kaleng, diuapkan, dengan tambahan vitamin D dan tanpa tambahan vitamin A","74,04",134,"6,81","7,56","1,55","10,04",-,"10,04",261,"0,19",24,203,303,106,"0,77","0,016","0,006","2,3","1,9","0,047","0,316","0,194","0,638","0,050",8,32,"0,16",233,65,64,-,12,-,-,-,"0,14","2,0",79,"0,5","4,591","2,335","0,245","29,00"
90,"Susu, kaleng, diuapkan, tanpa lemak, dengan tambahan vitamin A dan vitamin D","79,40",78,"7,55","0,20","1,50","11,35",-,"11,35",290,"0,29",27,195,332,115,"0,90","0,016","0,006","2,5","1,2","0,045","0,309","0,174","0,738","0,055",9,25,"0,24",394,118,118,-,-,-,-,-,-,"2,0",79,-,"0,121","0,062","0,006","4,00"
91,"Susu, coklat, cairan, komersial, utuh, dengan tambahan vitamin A dan vitamin D","82,30",83,"3,17","3,39","0,80","10,34","0,8","9,54",112,"0,24",13,101,167,60,"0,41","0,065","0,077","1,9","0,9","0,037","0,162","0,125","0,295","0,040",5,17,"0,33",98,27,26,-,7,-,-,-,"0,07","1,3",51,"0,3","2,104","0,990","0,124","12,00"
92,"Susu, coklat, cairan, komersial, lemak berkurang, dengan tambahan vitamin A dan vitamin D","82,17",76,"2,99","1,90","0,81","12,13","0,7","9,55",109,"0,24",14,102,169,66,"0,39","0,075","0,062","3,4",-,"0,045","0,183","0,164","0,539","0,024",2,17,"0,33",227,64,63,-,11,-,-,-,"0,04","1,2",49,"0,2","1,177","0,455","0,089","8,00"
93,"Susu, cokelat, rendah lemak, dengan tambahan vitamin A dan vitamin D","84,91",62,"3,46","1,00","0,78","9,86","0,1","9,94",129,"0,23",13,96,172,65,"0,43","0,028","0,030","1,9","0,4","0,031","0,247","0,124","0,430","0,047",3,17,"0,23",174,52,51,-,2,-,-,-,-,"1,1",43,"0,1","0,584","0,541","0,095","5,00"
94,"Susu, minuman cokelat, cokelat panas, buatan sendiri","82,45",77,"3,52","2,34","0,65","10,74","1,0","9,66",114,"0,42",23,105,197,44,"0,63","0,103","0,013","2,7","0,2","0,039","0,182","0,133","0,328","0,040",5,16,"0,49",176,51,51,-,4,-,-,-,"0,03","1,1",45,"0,2","1,431","0,677","0,084","8,00"
95,"Susu, kambing, cairan, dengan tambahan vitamin D","87,03",69,"3,56","4,14","0,82","4,45",-,"4,45",134,"0,05",14,111,204,50,"0,30","0,046","0,018","1,4","1,3","0,048","0,138","0,277","0,310","0,046",1,16,"0,07",198,57,56,-,7,-,-,-,"0,07","1,3",51,"0,3","2,667","1,109","0,149","11,00"
96,"Susu, manusia, dewasa, cairan","87,50",70,"1,03","4,38","0,20","6,89",-,"6,89",32,"0,03",3,14,51,17,"0,17","0,052","0,026","1,8","5,0","0,014","0,036","0,177","0,223","0,011",5,16,"0,05",212,61,60,-,7,-,-,-,"0,08","0,1",3,"0,3","2,009","1,658","0,497","14,00"
97,"Susu, kerbau India, cairan","83,39",97,"3,75","6,89","0,79","5,18",-,-,169,"0,12",31,117,178,52,"0,22","0,046","0,018",-,"2,3","0,052","0,135","0,091","0,192","0,023",6,-,"0,36",178,53,53,-,-,-,-,-,-,-,-,-,"4,597","1,787","0,146","19,00"
98,"Susu, domba, cairan","80,70",108,"5,98","7,00","0,96","5,36",-,-,193,"0,10",18,158,137,44,"0,54","0,046","0,018","1,7","4,2","0,065","0,355","0,417","0,407","0,060",7,-,"0,71",147,44,44,-,-,-,-,-,-,-,-,-,"4,603","1,724","0,308","27,00"
99,"Susu kocok, cokelat kental","72,20",119,"3,05","2,70","0,90","21,15","0,3","20,85",132,"0,31",16,126,224,111,"0,48","0,065","0,039","1,9",-,"0,047","0,222","0,124","0,363","0,025",5,17,"0,32",67,18,18,-,4,-,-,-,"0,05","1,0",41,"0,2","1,681","0,780","0,100","11,00"
100,"Susu kocok, vanilla kental","74,45",112,"3,86","3,03","0,91","17,75",-,"17,75",146,"0,10",12,115,183,95,"0,39","0,051","0,014","2,3",-,"0,030","0,195","0,146","0,368","0,042",7,14,"0,52",91,25,25,-,5,-,-,-,"0,05","1,2",48,"0,2","1,886","0,875","0,113","12,00"
101,"Whey, asam, cairan","93,42",24,"0,76","0,09","0,61","5,12",-,"5,12",103,"0,08",10,78,143,48,"0,43","0,003","0,002","1,8","0,1","0,042","0,140","0,079","0,381","0,042",2,16,"0,18",7,2,2,-,-,-,-,-,-,-,-,-,"0,057","0,025","0,004","1,00"
102,"Whey, asam, kering","3,51",339,"11,73","0,54","10,77","73,45",-,"73,45",2.054,"1,24",199,1.349,2.289,968,"6,31","0,050","0,015","27,3","0,9","0,622","2,060","1,160","5,632","0,620",33,225,"2,50",59,17,17,-,1,-,-,-,-,-,-,-,"0,342","0,149","0,021","3,00"
103,"Whey, manis, cair","93,12",27,"0,85","0,36","0,53","5,14",-,"5,14",47,"0,06",8,46,161,54,"0,13","0,004","0,001","1,9","0,1","0,036","0,158","0,074","0,383","0,031",1,16,"0,28",12,3,3,-,1,-,-,-,-,-,-,-,"0,230","0,100","0,011","2,00"
104,"Whey, manis, kering","3,19",353,"12,93","1,07","8,35","74,46",-,"74,46",796,"0,88",176,932,2.08,1.079,"1,97","0,070","0,009","27,2","1,5","0,519","2,208","1,258","5,620","0,584",12,225,"2,37",30,8,8,-,2,-,-,-,"0,02",-,-,"0,1","0,684","0,297","0,034","6,00"
105,"Yogurt, tawar, susu murni, 8 gram protein per 8 ons","87,90",61,"3,47","3,25","0,72","4,66",-,"4,66",121,"0,05",12,95,155,46,"0,59","0,009","0,004","2,2","0,5","0,029","0,142","0,075","0,389","0,032",7,15,"0,37",99,27,27,-,5,-,-,-,"0,06","0,1",2,"0,2","2,096","0,893","0,092","13,00"
106,"Yogurt, tawar, rendah lemak, protein 12 gram per 8 ons","85,07",63,"5,25","1,55","1,09","7,04",-,"7,04",183,"0,08",17,144,234,70,"0,89","0,013","0,004","3,3","0,8","0,044","0,214","0,114","0,591","0,049",11,15,"0,56",51,14,14,-,2,-,-,-,"0,03",-,1,"0,2","1,000","0,426","0,044","6,00"
107,"Yoghurt, polos, susu skim, 13 gram protein per 8 ons","85,23",56,"5,73","0,18","1,18","7,68",-,"7,68",199,"0,09",19,157,255,77,"0,97","0,015","0,005","3,6","0,9","0,048","0,234","0,124","0,641","0,053",12,15,"0,61",7,2,2,-,-,-,-,-,-,-,-,"0,2","0,116","0,049","0,005","2,00"
108,"Yogurt, vanila, rendah lemak, 11 gram protein per 8 ons","79,00",85,"4,93","1,25","1,02","13,80",-,"13,80",171,"0,07",16,135,219,66,"0,83","0,013","0,004","4,9","0,8","0,042","0,201","0,107","0,552","0,045",11,15,"0,53",43,12,12,-,2,-,-,-,"0,02",-,1,"0,1","0,806","0,343","0,036","5,00"
109,"Yogurt, buah, rendah lemak, 9 gram protein per 8 ons","75,30",99,"3,98","1,15","0,93","18,64",-,"18,64",138,"0,06",13,109,177,53,"0,67","0,079","0,064","2,8","0,6","0,034","0,162","0,086","0,446","0,037",9,15,"0,43",40,11,11,-,2,-,-,-,"0,02",-,1,"0,1","0,742","0,316","0,033","5,00"
110,"Yogurt, buah, rendah lemak, 10 gram protein per 8 ons","74,48",102,"4,37","1,08","1,02","19,05",-,"19,05",152,"0,07",15,119,195,58,"0,74","0,080","0,065","3,1","0,7","0,037","0,178","0,095","0,489","0,040",9,14,"0,47",36,10,10,-,2,-,-,-,"0,02",-,1,"0,1","0,697","0,297","0,031","4,00"
111,"Yogurt, buah, rendah lemak, 11 gram protein per 8 ons","74,10",105,"4,86","1,41","1,03","18,60",-,-,169,"0,07",16,133,216,65,"0,82","0,080","0,065","3,1","0,7","0,041","0,198","0,105","0,544","0,045",10,-,"0,52",60,-,-,-,-,-,-,-,-,-,-,-,"0,909","0,387","0,040","6,00"
112,"Telur, utuh, mentah, segar","76,15",143,"12,56","9,51","1,06","0,72",-,"0,37",56,"1,75",12,198,138,142,"1,29","0,072","0,028","30,7",-,"0,040","0,457","0,075","1,533","0,170",47,294,"0,89",540,160,160,-,-,9,-,503,"1,05","2,0",82,"0,3","3,126","3,658","1,911","372,00"
113,"Telur, putih, mentah, segar","87,57",52,"10,90","0,17","0,63","0,73",-,"0,71",7,"0,08",11,15,163,166,"0,03","0,023","0,011","20,0",-,"0,004","0,439","0,105","0,190","0,005",4,1,"0,09",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,"Telur, kuning telur, mentah, segar","52,31",322,"15,86","26,54","1,71","3,59",-,"0,56",129,"2,73",5,390,109,48,"2,30","0,077","0,055","56,0",-,"0,176","0,528","0,024","2,990","0,350",146,820,"1,95",1.442,381,371,38,88,33,-,1.094,"2,58","5,4",218,"0,7","9,551","11,738","4,204","1.085,00"
115,"Telur, kuning telur, mentah, beku, dipasteurisasi","56,44",296,"15,53","25,60","1,62","0,81",-,"0,16",134,"4,55",11,420,121,67,"3,17",-,"0,078","56,4",-,"0,223","0,563","0,031","3,437","0,412",151,639,"1,90",1.469,419,419,36,10,32,-,904,"2,24","6,0",238,"0,7","8,615","9,956","4,827","991,00"
116,"Telur, kuning telur, mentah, beku, gula, dipasteurisasi","51,23",307,"13,87","22,82","1,13","10,95",-,"10,30",124,"3,70",10,404,105,70,"3,06","0,012","0,080","53,5",-,"0,140","0,523","0,037","3,287","0,398",174,669,"1,64",1.103,316,313,38,-,33,-,967,"2,25","3,1",123,"0,7","7,110","8,885","3,856","917,00"
117,"Telur, utuh, dimasak, digoreng","69,47",196,"13,61","14,84","1,26","0,83",-,"0,40",62,"1,89",13,215,152,207,"1,39","0,078","0,030","33,1",-,"0,044","0,495","0,082","1,660","0,184",51,317,"0,97",787,219,216,-,35,10,-,543,"1,31","2,2",88,"5,6","4,323","6,182","3,251","401,00"
118,"Telur, utuh, matang, rebus-keras","74,62",155,"12,58","10,61","1,08","1,12",-,"1,12",50,"1,19",10,172,126,124,"1,05","0,013","0,026","30,8",-,"0,066","0,513","0,064","1,398","0,121",44,294,"1,11",520,149,148,-,11,10,-,353,"1,03","2,2",87,"0,3","3,267","4,077","1,414","373,00"
119,"Telur, utuh, matang, telur dadar","76,13",154,"10,57","11,66","1,01","0,64",-,"0,31",48,"1,48",11,167,117,155,"1,09","0,063","0,024","25,8",-,"0,034","0,386","0,064","1,289","0,143",39,248,"0,76",617,172,169,-,28,8,-,423,"1,29","1,7",69,"4,5","3,319","4,843","2,712","313,00"
120,"Telur, utuh, matang, rebus","75,85",143,"12,51","9,47","1,46","0,71",-,"0,37",56,"1,75",12,197,138,297,"1,29","0,072","0,028","30,6",-,"0,032","0,387","0,063","1,527","0,144",35,234,"0,71",538,160,159,-,-,9,-,501,"1,04","2,0",82,"0,3","3,113","3,643","1,904","370,00"
121,"Telur, utuh, dimasak, diaduk","76,40",149,"9,99","10,98","1,01","1,61",-,"1,39",66,"1,31",11,165,132,145,"1,04","0,059","0,022","23,5",-,"0,040","0,376","0,076","1,217","0,134",36,221,"0,76",578,161,159,-,26,7,-,372,"1,15","1,8",72,"4,0","3,331","4,441","2,429","277,00"
122,"Telur, utuh, kering","2,78",592,"48,05","43,90","4,13","1,13",-,"0,56",244,"7,20",34,629,540,476,"3,15","0,203","0,058","164,7",-,"0,183","1,977","0,340","5,550","0,499",119,1.267,"2,96",999,300,300,-,-,36,-,835,"3,88","8,3",331,"1,2","15,069","16,726","8,314","1.630,00"
123,"Telur, utuh, dikeringkan, stabil, glukosa berkurang","1,87",615,"48,17","43,95","3,63","2,38",-,-,222,"8,28",49,715,515,548,"5,71","0,270","0,150","121,1",-,"0,325","1,232","0,259","6,710","0,420",193,-,"10,51",2.05,616,616,-,-,-,-,-,-,-,-,-,"13,198","17,564","5,713","2.017,00"
124,"Telur, putih, dikeringkan, serpih, distabilkan, glukosa berkurang","14,62",351,"76,92","0,04","4,25","4,17",-,-,83,"0,23",67,83,1.042,1.156,"0,15","0,230","0,070","116,8",-,"0,035","2,162","0,675","1,829","0,023",89,8,"0,49",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,"Telur, putih, dikeringkan, bubuk, stabil, glukosa berkurang","8,54",376,"82,40","0,04","4,55","4,47",-,-,89,"0,24",72,89,1.116,1.238,"0,16","0,170","0,050","125,1",-,"0,037","2,316","0,723","1,958","0,024",96,8,"0,53",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,"Telur, kuning telur, kering","3,08",669,"33,63","59,13","3,51","0,66",-,"0,23",289,"9,56",26,1.04,264,149,"7,73",-,"0,185","139,3",-,"0,387","1,257","0,083","9,063","0,742",209,2.403,"5,11",1.59,477,477,79,-,70,-,1.133,"4,81","10,4",417,"1,5","20,334","23,377","10,320","2.307,00"
127,"Telur, bebek, utuh, segar, mentah","70,83",185,"12,81","13,77","1,14","1,45",-,"0,93",64,"3,85",17,220,222,146,"1,41","0,062","0,038","36,4",-,"0,156","0,404","0,200","1,862","0,250",80,263,"5,40",674,194,192,-,14,12,-,459,"1,34","1,7",69,"0,4","3,681","6,525","1,223","884,00"
128,"Telur, angsa, utuh, segar, mentah","70,43",185,"13,87","13,27","1,08","1,35",-,"0,94",60,"3,64",16,208,210,138,"1,33","0,062","0,038","36,9",-,"0,147","0,382","0,189","1,759","0,236",76,263,"5,10",650,187,185,-,13,12,-,442,"1,29","1,7",66,"0,4","3,595","5,747","1,672","852,00"
129,"Telur, puyuh, utuh, segar, mentah","74,35",158,"13,05","11,09","1,10","0,41",-,"0,40",64,"3,65",13,226,132,141,"1,47","0,062","0,038","32,0",-,"0,130","0,790","0,150","1,761","0,150",66,263,"1,58",543,156,155,-,11,10,-,369,"1,08","1,4",55,"0,3","3,557","4,324","1,324","844,00"
130,"Telur, kalkun, utuh, segar, mentah","72,50",171,"13,68","11,88","0,79","1,15",-,-,99,"4,10",13,170,142,151,"1,58","0,062","0,038","34,3",-,"0,110","0,470","0,024","1,889","0,131",71,-,"1,69",554,166,166,-,-,-,-,-,-,-,-,-,"3,632","4,571","1,658","933,00"
131,"Pengganti telur, bubuk","3,86",444,"55,50","13,00","5,84","21,80",-,"21,80",326,"3,16",65,478,744,800,"1,82","0,207","0,080","127,7","0,8","0,226","1,760","0,577","3,384","0,143",125,118,"3,52",1.23,369,369,-,-,-,-,-,"1,26",-,-,"0,4","3,766","5,341","1,683","572,00"
132,"Mentega, tanpa garam","17,94",717,"0,85","81,11","0,09","0,06",-,"0,06",24,"0,02",2,24,24,11,"0,09","0,016","0,004","1,0",-,"0,005","0,034","0,042","0,110","0,003",3,19,"0,17",2.499,684,671,-,158,-,-,-,"2,32",-,-,"7,0","50,489","23,430","3,010","215,00"
133,"Keju, parmesan, iris","25,00",415,"37,86","27,34","6,39","3,41",-,"0,90",1.253,"0,87",51,735,97,1.696,"3,19","0,037","0,023","23,9",-,"0,041","0,352","0,287","0,527","0,105",8,15,"1,40",865,229,223,-,73,-,-,-,"0,25","0,5",21,"1,9","17,370","8,734","0,661","72,00"
134,"Susu, tanpa lemak, cairan, tanpa tambahan vitamin A dan vitamin D (bebas lemak atau skim)","90,84",34,"3,37","0,08","0,75","4,96",-,"5,09",122,"0,03",11,101,156,42,"0,42","0,013","0,003","3,1",-,"0,045","0,182","0,094","0,357","0,037",5,16,"0,50",15,2,1,-,7,-,-,-,"0,01",-,-,-,"0,051","0,021","0,003","2,00"
135,"Susu, mengurangi lemak, cairan, lemak susu 2%, dengan menambahkan padatan susu tanpa lemak, tanpa tambahan vitamin A","87,71",56,"3,95","1,98","0,87","5,49",-,-,143,"0,06",15,112,182,59,"0,41","0,011","0,002","2,6","1,1","0,045","0,194","0,101","0,339","0,046",5,-,"0,39",75,17,16,-,-,-,-,-,-,-,-,-,"1,232","0,065","0,009","8,00"
136,"Susu, kaleng, diuapkan, dengan tambahan vitamin A","74,04",134,"6,81","7,56","1,55","10,04",-,-,261,"0,19",24,203,303,106,"0,77","0,016","0,006","2,3","1,9","0,047","0,316","0,194","0,638","0,050",8,-,"0,16",397,-,-,-,-,-,-,-,-,-,-,-,"4,591","2,335","0,245","29,00"
137,"Susu, dikeringkan, tanpa lemak, teratur, dengan tambahan vitamin A dan vitamin D","3,16",362,"36,16","0,77","7,93","51,98",-,"51,98",1.257,"0,32",110,968,1.794,535,"4,08","0,041","0,020","27,3","6,8","0,415","1,550","0,951","3,568","0,361",50,169,"4,03",2.179,653,653,-,1,-,-,-,-,"11,0",440,"0,1","0,499","0,200","0,030","20,00"
138,"Susu, dikeringkan, tanpa lemak, instan, tanpa tambahan vitamin A dan vitamin D","3,96",358,"35,10","0,72","8,03","52,19",-,"52,19",1.231,"0,31",117,985,1.705,549,"4,41","0,041","0,020","27,3","5,6","0,413","1,744","0,891","3,230","0,345",50,168,"3,99",15,4,4,-,1,-,-,-,"0,01",-,-,-,"0,470","0,190","0,030","18,00"
139,"Keju, kambing, tipe keras","29,01",452,"30,52","35,59","3,72","2,17",-,"2,17",895,"1,88",54,729,48,423,"1,59","0,627","0,252","5,5",-,"0,140","1,190","2,400","0,410","0,080",4,15,"0,12",1.745,486,478,-,91,-,-,-,"0,31","0,7",26,"3,0","24,609","8,117","0,845","105,00"
140,"Keju, kambing, jenis semisoft","45,52",364,"21,58","29,84","2,94","0,12",-,"0,12",298,"1,62",29,375,158,415,"0,66","0,564","0,093","3,8",-,"0,072","0,676","1,148","0,190","0,060",2,15,"0,22",1.464,407,401,-,77,-,-,-,"0,26","0,5",22,"2,5","20,639","6,808","0,709","79,00"
141,"Keju, kambing, tipe lunak","60,75",264,"18,52","21,08","1,58",-,-,-,140,"1,90",16,256,26,459,"0,92","0,732","0,100","2,8",-,"0,070","0,380","0,430","0,680","0,250",12,15,"0,19",1.033,288,283,-,54,-,-,-,"0,18","0,4",15,"1,8","14,575","4,807","0,501","46,00"
142,"Telur, kuning telur, mentah, beku, asin, dipasteurisasi","50,87",275,"14,07","22,93","10,37","1,77",-,"0,07",113,"3,40",7,414,111,3.487,"2,87","0,121","0,065","56,9",-,"0,140","0,427","0,027","3,167","0,402",112,705,"1,61",1.043,313,313,38,-,33,-,712,"2,28","3,1",126,"0,7","7,159","9,070","3,733","912,00"
143,"Pengganti keju, mozzarella","47,36",248,"11,47","12,22","5,27","23,67",-,"23,67",610,"0,40",41,583,455,685,"1,92","0,110","0,028","19,2","0,1","0,026","0,444","0,317","0,083","0,051",11,14,"0,81",1.457,437,437,-,-,-,-,-,"0,11",-,-,"1,0","3,711","6,243","1,738",-
144,"Saus keju, dibuat dari resep","66,86",197,"10,33","14,92","2,41","5,48","0,1","0,19",311,"0,35",19,229,142,493,"1,26","0,019","0,040","6,6","0,6","0,044","0,243","0,204","0,233","0,045",10,5,"0,35",310,82,80,-,26,-,-,-,"0,09","1,0",41,"0,9","8,034","4,735","1,397","38,00"
145,"Keju, meksiko, queso anejo","38,06",373,"21,44","29,98","5,89","4,63",-,"4,63",680,"0,47",28,444,87,1.131,"2,94","0,008","0,037","14,5",-,"0,020","0,209","0,032","0,252","0,047",1,15,"1,38",220,64,64,-,4,-,-,-,"0,26","0,5",22,"2,5","19,033","8,528","0,901","105,00"
146,"Keju, meksiko, queso asadero","42,16",356,"22,60","28,26","4,11","2,87",-,"2,87",661,"0,51",26,443,86,705,"3,02","0,026","0,036","14,5",-,"0,021","0,223","0,181","0,231","0,053",8,15,"1,00",190,55,55,-,4,-,-,-,"0,24","0,5",21,"2,4","17,939","8,038","0,850","105,00"
147,"Keju, meksiko, queso chihuahua","39,13",374,"21,56","29,68","4,06","5,56",-,"5,56",651,"0,47",23,442,52,617,"3,50","0,024","0,071","14,5",-,"0,018","0,225","0,150","0,279","0,055",2,15,"1,03",193,56,56,-,4,-,-,-,"0,26","0,5",22,"2,5","18,843","8,443","0,892","105,00"
148,"Keju, rendah lemak, cheddar atau colby","63,10",173,"24,35","7,00","3,64","1,91",-,"0,52",415,"0,42",16,484,66,873,"1,82","0,021","0,006","14,5",-,"0,012","0,221","0,051","0,183","0,045",11,15,"0,49",207,60,60,-,4,-,-,-,"0,06","0,1",5,"0,6","4,342","2,082","0,222","21,00"
149,"Keju, rendah sodium, cheddar atau colby","38,98",398,"24,35","32,62","2,13","1,91",-,"0,49",703,"0,72",27,484,112,21,"3,09","0,036","0,011","14,5",-,"0,021","0,375","0,086","0,311","0,076",18,15,"0,83",996,264,257,-,84,-,-,-,"0,28","0,6",24,"2,7","20,768","9,189","0,972","100,00"
150,"Telur, utuh, mentah, beku, dipasteurisasi","75,81",147,"12,33","9,95","0,91","1,01",-,"0,25",62,"1,74",9,193,135,128,"1,32","0,053","0,032","37,2",-,"0,067","0,523","0,103","1,570","0,188",87,268,"1,00",570,171,171,-,-,9,-,471,"0,72","2,6",105,"0,3","3,382","3,905","1,892","372,00"
151,"Telur, putih, mentah, beku, dipasteurisasi","88,17",48,"10,20",-,"0,60","1,04",-,"0,25",8,"0,04",11,13,169,169,"0,07","0,032","0,007","9,2",-,"0,023","0,423","0,093","0,147","0,005",10,3,"0,03",-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
152,"Telur, putih, kering","5,80",382,"81,10",-,"5,30","7,80",-,"5,40",62,"0,15",88,111,1.125,1.28,"0,10","0,114","0,007","125,1",-,"0,005","2,530","0,865","0,775","0,036",18,8,"0,18",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,"Susu, mengurangi lemak, cairan, lemak susu 2%, tanpa tambahan vitamin A dan vitamin D","89,21",50,"3,30","1,98","0,71","4,80",-,"5,06",120,"0,02",11,92,140,47,"0,48","0,006","0,014","2,5","0,2","0,039","0,185","0,092","0,356","0,038",5,16,"0,53",102,28,27,-,7,-,-,-,"0,03",-,1,"0,2","1,257","0,560","0,073","8,00"
154,"Susu, cairan, 1% lemak, tanpa tambahan vitamin A dan vitamin D","89,92",42,"3,37","0,97","0,75","4,99",-,"5,20",125,"0,03",11,95,150,44,"0,42","0,010","0,003","3,3",-,"0,020","0,185","0,093","0,361","0,037",5,18,"0,47",47,14,13,-,2,-,-,-,"0,01",-,1,"0,1","0,633","0,277","0,035","5,00"
155,"Krim asam, mengurangi lemak","71,00",181,"7,00","14,10","0,90","7,00",-,"0,30",141,"0,06",11,85,211,70,"0,27","0,010",-,"4,1","0,9","0,040","0,240","0,070",-,"0,020",11,19,"0,30",436,119,117,-,27,-,-,-,"0,40","0,3",10,"0,7","8,700","4,100","0,500","35,00"
156,"Krim asam, ringan","78,10",136,"3,50","10,60","0,70","7,10",-,"0,22",141,"0,07",10,71,212,83,"0,50","0,016",-,"3,1","0,9","0,040","0,120","0,070",-,"0,020",11,19,"0,42",328,90,88,-,21,-,-,-,"0,30","0,2",8,"0,5","6,600","3,100","0,400","35,00"
157,"Krim asam, bebas lemak","80,60",74,"3,10",-,"0,70","15,60",-,"0,39",125,-,10,95,129,141,"0,50","0,016",-,"5,3",-,"0,040","0,150","0,070",-,"0,020",11,19,"0,30",255,73,72,-,9,-,-,-,-,-,-,-,-,-,-,"9,00"
158,"Komoditas USDA, keju, cheddar, lemak berkurang","48,20",282,"27,20","18,30","4,30","2,00",-,"0,58",905,"0,13",35,583,93,725,"4,30","0,021",-,"15,5",-,"0,030","0,300","0,060",-,"0,084",20,15,"1,66",633,150,142,-,95,-,-,-,"0,16","0,3",13,"1,5","11,580","5,020","0,750","56,00"
159,"Yogurt, rasa vanila atau lemon, susu tanpa lemak, dimaniskan dengan pemanis rendah kalori","87,43",43,"3,86","0,18","1,00","7,50",-,"7,50",143,"0,12",13,109,177,59,"0,67","0,079",-,"3,1","1,1","0,034","0,162","0,086",-,"0,037",8,15,"0,43",6,2,2,-,-,-,-,-,-,-,-,-,"0,116","0,049","0,005","2,00"
160,"Topping keju parmesan, bebas lemak","8,60",370,"40,00","5,00","6,40","40,00",-,"1,50",800,"5,00",40,700,600,1.15,"3,00","0,020",-,"43,3",-,"0,050","0,050","0,200",-,"0,100",25,15,"1,10",151,40,39,-,13,-,-,-,"0,04",-,-,"0,4","3,110","1,446","0,186","20,00"
161,"Keju, krim, bebas lemak","71,87",105,"15,69","1,00","3,77","7,66",-,"5,48",351,"0,19",22,523,278,702,"1,50","0,036","0,017","4,9",-,"0,040","0,265","0,230","0,840","0,050",35,65,"0,95",53,11,10,-,11,-,-,-,"0,02",-,-,"0,2","0,644","0,250","0,057","12,00"
